remoteId,published,modified,Priorità,Evento speciale,Titolo,Titolo breve,Sottotitolo,Descrizione,Locandina,Inizio,Termine,Quando,Orario,Durata,Dove,lat,lon,address,Pagina web,Contatto email ,Contatto telefonico,Informazioni,Costi,Immagine,Evento - manifestazione,Manifestazione cui fa parte,Tipologia,Materia,Destinatari,Circoscrizione,Struttura ospitante,Associazione,Ente organizzatore,Identificativo
e51b5638b658de17f9d0867eb10f7a2f,2013-04-05T08:50:00+02:00,2013-04-05T08:54:22+02:00,0,,L'equilibrio della terra,,"
Dove: in via degli Olmi 26 (Trento sud) Quando: venerdì 5 aprile ore 20:30","L'APS &quot;La Via del Fuoco&quot; ha presenta l'evento gratuito e sperimentale &quot;L'equilibrio della terra. Arte Marziale e Primo Elemento&quot; che si terrà venerdì 5 aprile alle 20:30 in via degli Olmi 26 (Trento sud). Gradita prenotazione.Oggi l'uomo è &quot;portato via&quot; dalla corrente del superficiale, una forza prorompente di flussi compulsivi che scorrono nell'illusione dell'istante. Per ritornare a se stesso e realizzare lo stato permanente di distrazione nel quale vive, l'uomo deve ancorarsi in primis ad uno &quot;stop percettivo&quot;. L'Arte Marziale, mediante l'applicazione dei Codici del Vuoto, offre l'ancoraggio necessario alla barca umana affinché sappia ridisegnare il proprio tracciato di navigazione attraverso l'oceano della vita.",,2013-04-05T08:43:00+02:00,,venerdì 5 aprile alle 20:30 in via degli Olmi 26 (Trento sud),,,,0,0,,,,,"


cell. 347 7522204

						
					                laviadelfuoco@gmail.com
    


						
					            www.laviadelfuoco.it
    



",,,,,,,,,,,,
2f90c1d9657170676d8491f2bab910af,2019-11-07T15:14:00+01:00,2019-01-09T14:38:38+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-11-07T15:14:00+01:00,2019-11-07T15:14:00+01:00,Giovedì 7 novembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi262/11474257-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
941782f65faadc8cf135d552658e13cb,2019-11-14T15:14:00+01:00,2019-01-09T14:39:27+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-11-14T15:14:00+01:00,2019-11-14T15:14:00+01:00,Giovedì 14 novembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi263/11474289-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
a7bf6c79d7c968516716a75bde5e25a6,2019-11-21T15:14:00+01:00,2019-01-09T14:40:21+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-11-21T15:14:00+01:00,2019-11-21T15:14:00+01:00,Giovedì 21 novembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi264/11474321-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
c853f702cc7f8a3d2326cb898a849aa7,2019-11-28T15:14:00+01:00,2019-01-09T14:41:08+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-11-28T15:14:00+01:00,2019-11-28T15:14:00+01:00,Giovedì 28 novembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi265/11474351-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
f6c7947cc665067efaa8d30acc539295,2019-12-05T15:14:00+01:00,2019-01-09T14:41:58+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-12-05T15:14:00+01:00,2019-12-05T15:14:00+01:00,Giovedì 5 dicembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi266/11474381-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
9bafebb780cae2cebede1a7ab8a04b90,2019-12-12T15:14:00+01:00,2019-01-09T14:42:45+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-12-12T15:14:00+01:00,2019-12-12T15:14:00+01:00,Giovedì 12 dicembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi267/11474411-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
5514314fe558cf004a4f308c9bf1bbc9,2019-12-19T15:14:00+01:00,2019-01-09T14:43:42+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-12-19T15:14:00+01:00,2019-12-19T15:14:00+01:00,Giovedì 19 dicembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi268/11474441-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
f0be38cbe9495cf80df40dfdf8a2c62e,2019-12-26T15:14:00+01:00,2019-01-09T14:44:37+01:00,0,,Mercato settimanale del giovedì,,"Tutti giovedì nel centro storico di Trento (						
					                vedi dettagli
    
)",,,2019-12-26T15:14:00+01:00,2019-12-26T15:14:00+01:00,Giovedì 26 dicembre 2019,Dalle ore 7.15 alle 14.00,,Centro storico,0,0,,,,,,,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/mercato-settimanale-del-giovedi269/11474471-1-ita-IT/Mercato-settimanale-del-giovedi.png,Evento singolo,Mercato del giovedì,"Feste, mercati e fiere",Intrattenimento - tempo libero,,,,,,
783697db7d918a182be306a3512c8e5e,2019-11-13T09:40:00+01:00,2019-03-14T09:49:02+01:00,0,,MUSE a tutto libro,,Incontri con gli autori e i loro racconti,"Incontri con autori che, partendo dalla presentazione di libri di recente pubblicazione, affronta temi scientifici e sociali contemporanei e di interesse pubblico.
mercoledì 13 novembre, ore 20.30&quot;L'Afrique c'est chic&quot; di Michelangelo Bartolo conduce Osvaldo Negra",,2019-11-13T09:40:00+01:00,2019-11-13T09:40:00+01:00,mercoledì 13 novembre 2019,20.30,,"MUSE, Corso del Lavoro e della Scienza 3, Trento",46.061341,11.115814,"Provincia di Trento, Corso del Lavoro e della Scienza, Le Albere, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38100, Italia",https://www.eventbrite.it/,,0461 270311,,Ingresso libero. Prenotazione obbligatoria su www.eventbrite.it,/var/comunetn/storage/images/aree-tematiche/turismo/eventi/tutti-gli-eventi/muse-a-tutto-libro6/11591088-1-ita-IT/MUSE-a-tutto-libro.jpg,Evento singolo,,"Incontri, convegni e conferenze",Scienze sociali,,Circoscrizione n. 12 - Centro storico - Piedicastello,Muse,,,
